paper_id,exam,year,session,qp_code,max_marks,subject,scheme,question_no,section,marks,question,topic
P002,August 2016,2016,August,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,1,Essay,14,Describe in detail the morphology of permanent maxillary first molar. Add a note on its chronology. Enumerate the differences between the permanent maxillary first molar and permanent mandibular first molar.,maxillary first molar; tooth morphology
P002,August 2016,2016,August,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,2,Essay,14,Define odontogenesis. Enumerate the various stages of odontogenesis. Discuss advanced bell stage of tooth development with the help of a neat diagram.,tooth development
P002,August 2016,2016,August,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,3,Short Essays,8,Define maxillary sinus and explain about its histology and functions.,maxillary sinus
P002,August 2016,2016,August,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,4,Short Essays,8,Clinical features and histology of gingiva.,gingiva
P002,August 2016,2016,August,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,5,Short Essays,8,Define mastication and discuss muscles of mastication.,mastication
P002,August 2016,2016,August,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,6,Short Essays,8,Describe briefly the structure of dento-gingival junction with the help of a neat diagram. Add a note on stages in shift of dentogingival junction.,gingiva
P002,August 2016,2016,August,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,7,Short Notes,4,Composition of saliva.,saliva/salivary gland
P002,August 2016,2016,August,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,8,Short Notes,4,Differences between cellular and acellular cementum.,cementum
P002,August 2016,2016,August,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,9,Short Notes,4,Differences between maxillary first premolar and maxillary second premolar.,tooth morphology
P002,August 2016,2016,August,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,10,Short Notes,4,Development of tongue.,tongue
P002,August 2016,2016,August,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,11,Short Notes,4,Cemento-enamel junctions.,enamel
P002,August 2016,2016,August,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,12,Short Notes,4,Structure of myoepithelial cell.,General
P002,August 2016,2016,August,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,13,Short Notes,4,Leeway space of Nance.,General
P002,August 2016,2016,August,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,14,Short Notes,4,Age changes of dentin.,dentin
P002,August 2016,2016,August,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,15,Short Notes,4,Theories of dentin hypersensitivity.,dentin
P002,August 2016,2016,August,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,16,Short Notes,4,Curve of Spee and curve of Wilson.,occlusion
P005,February 2016,2016,February,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,1,Essay,14,"Explain in detail the properties, composition and structure of enamel. Add a note on its clinical importance.",enamel
P005,February 2016,2016,February,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,2,Essay,14,Describe the morphology of maxillary first premolar with neat diagrams and enumerate the differences between maxillary first and second premolars.,tooth morphology
P005,February 2016,2016,February,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,3,Short Essays,8,Classify oral mucosa and describe in detail structure of the dorsum of the tongue with diagrams.,oral mucosa; tongue
P005,February 2016,2016,February,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,4,Short Essays,8,"Define occlusion, overjet, overbite and compensatory curves.",occlusion
P005,February 2016,2016,February,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,5,Short Essays,8,Explain mastication and its importance.,mastication
P005,February 2016,2016,February,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,6,Short Essays,8,Describe incremental lines of the hard tissues with the help of a neat diagram.,General
P005,February 2016,2016,February,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,7,Short Notes,4,Functions of pulp,pulp
P005,February 2016,2016,February,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,8,Short Notes,4,Oblique ridge,General
P005,February 2016,2016,February,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,9,Short Notes,4,Dentin sensitivity,dentin
P005,February 2016,2016,February,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,10,Short Notes,4,Shedding of teeth,General
P005,February 2016,2016,February,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,11,Short Notes,4,Embrasure,General
P005,February 2016,2016,February,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,12,Short Notes,4,Myoepithelial cells,General
P005,February 2016,2016,February,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,13,Short Notes,4,Sharpey's fibers,periodontal ligament
P005,February 2016,2016,February,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,14,Short Notes,4,Development of tongue,tongue
P005,February 2016,2016,February,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,15,Short Notes,4,FDI system,anatomical notation
P005,February 2016,2016,February,104002,100,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,16,Short Notes,4,Bundle bone,periodontal ligament
P004,August 2017,2017,August,114002,70,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,1,Essay,10,Classify oral mucous membrane. Describe in detail about the macroscopic and microscopic features of gingiva.,gingiva; oral mucosa
P004,August 2017,2017,August,114002,70,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,2,Essay,10,Describe in detail the morphology of permanent maxillary first molar. Add a note on its chronology.,maxillary first molar; tooth morphology
P004,August 2017,2017,August,114002,70,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,3,Short Notes,5,Dorsal surface of tongue,tongue
P004,August 2017,2017,August,114002,70,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,4,Short Notes,5,Principal fibers of periodontal ligament,periodontal ligament
P004,August 2017,2017,August,114002,70,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,5,Short Notes,5,Oral phase of deglutition,deglutition; embryology
P004,August 2017,2017,August,114002,70,"Dental Anatomy, Embryology and Oral Histology",2016 Scheme,6,Short Notes,5,Enumerate the difference between primary and permanent dentition,dentition
